time,true_flux(m/d)
4/1/2017 0:00,1.644851232
4/1/2017 0:05,1.638036864
4/1/2017 0:10,1.631208672
4/1/2017 0:15,1.624378752
4/1/2017 0:20,1.617557472
4/1/2017 0:25,1.610723232
4/1/2017 0:30,1.603897632
4/1/2017 0:35,1.597059072
4/1/2017 0:40,1.590218784
4/1/2017 0:45,1.583387136
4/1/2017 0:50,1.576543392
4/1/2017 0:55,1.569708288
4/1/2017 1:00,1.554497568
4/1/2017 1:05,1.53928512
4/1/2017 1:10,1.524082176
4/1/2017 1:15,1.508865408
4/1/2017 1:20,1.493658144
4/1/2017 1:25,1.478438784
4/1/2017 1:30,1.463228064
4/1/2017 1:35,1.448005248
4/1/2017 1:40,1.432791936
4/1/2017 1:45,1.417565664
4/1/2017 1:50,1.40234976
4/1/2017 1:55,1.387120896
4/1/2017 2:00,1.388708064
4/1/2017 2:05,1.390293504
4/1/2017 2:10,1.391878944
4/1/2017 2:15,1.393462656
4/1/2017 2:20,1.395046368
4/1/2017 2:25,1.396629216
4/1/2017 2:30,1.3982112
4/1/2017 2:35,1.399792567
4/1/2017 2:40,1.40137344
4/1/2017 2:45,1.402953696
4/1/2017 2:50,1.404533088
4/1/2017 2:55,1.406111616
4/1/2017 3:00,1.392952032
4/1/2017 3:05,1.37980368
4/1/2017 3:10,1.366644096
4/1/2017 3:15,1.353494016
4/1/2017 3:20,1.340332704
4/1/2017 3:25,1.327171392
4/1/2017 3:30,1.314020448
4/1/2017 3:35,1.300857408
4/1/2017 3:40,1.287695232
4/1/2017 3:45,1.27454256
4/1/2017 3:50,1.261378656
4/1/2017 3:55,1.248225984
4/1/2017 4:00,1.260188064
4/1/2017 4:05,1.272160512
4/1/2017 4:10,1.284120864
4/1/2017 4:15,1.296091584
4/1/2017 4:20,1.308062304
4/1/2017 4:25,1.320021792
4/1/2017 4:30,1.331991031
4/1/2017 4:35,1.34396064
4/1/2017 4:40,1.355917536
4/1/2017 4:45,1.367885664
4/1/2017 4:50,1.37984256
4/1/2017 4:55,1.391809824
4/1/2017 5:00,1.368594144
4/1/2017 5:05,1.34539056
4/1/2017 5:10,1.322176608
4/1/2017 5:15,1.29896352
4/1/2017 5:20,1.275749568
4/1/2017 5:25,1.25253648
4/1/2017 5:30,1.229334624
4/1/2017 5:35,1.206121536
4/1/2017 5:40,1.182909312
4/1/2017 5:45,1.159697088
4/1/2017 5:50,1.136484864
4/1/2017 5:55,1.113283872
4/1/2017 6:00,1.119509115
4/1/2017 6:05,1.125734112
4/1/2017 6:10,1.131947136
4/1/2017 6:15,1.138171392
4/1/2017 6:20,1.144395648
4/1/2017 6:25,1.15061904
4/1/2017 6:30,1.156843296
4/1/2017 6:35,1.163066688
4/1/2017 6:40,1.16929008
4/1/2017 6:45,1.175512608
4/1/2017 6:50,1.181735753
4/1/2017 6:55,1.187958528
4/1/2017 7:00,1.177886016
4/1/2017 7:05,1.167814368
4/1/2017 7:10,1.157743584
4/1/2017 7:15,1.1476728
4/1/2017 7:20,1.13760288
4/1/2017 7:25,1.127543698
4/1/2017 7:30,1.117474272
4/1/2017 7:35,1.107404352
4/1/2017 7:40,1.097335296
4/1/2017 7:45,1.087265993
4/1/2017 7:50,1.077197184
4/1/2017 7:55,1.067128128
4/1/2017 8:00,1.074856608
4/1/2017 8:05,1.082572992
4/1/2017 8:10,1.09029024
4/1/2017 8:15,1.098007241
4/1/2017 8:19,1.105724119
4/1/2017 8:24,1.113441243
4/1/2017 8:29,1.121158491
4/1/2017 8:34,1.128875863
4/1/2017 8:39,1.136604343
4/1/2017 8:44,1.144321961
4/1/2017 8:49,1.152039456
