time,true_flux(m/d)
4/1/2017 0:00,1.445212906
4/1/2017 0:05,1.448420486
4/1/2017 0:10,1.451592496
4/1/2017 0:15,1.454749512
4/1/2017 0:20,1.457903192
4/1/2017 0:25,1.461046969
4/1/2017 0:30,1.464187463
4/1/2017 0:35,1.467305506
4/1/2017 0:40,1.470418445
4/1/2017 0:45,1.473531277
4/1/2017 0:50,1.47664613
4/1/2017 0:55,1.47975774
4/1/2017 1:00,1.482870798
4/1/2017 1:05,1.476895228
4/1/2017 1:10,1.470916109
4/1/2017 1:15,1.464926489
4/1/2017 1:20,1.458929239
4/1/2017 1:25,1.452928799
4/1/2017 1:30,1.44691811
4/1/2017 1:35,1.440921511
4/1/2017 1:40,1.43492264
4/1/2017 1:45,1.42891437
4/1/2017 1:50,1.422910528
4/1/2017 1:55,1.416904505
4/1/2017 2:00,1.410889297
4/1/2017 2:05,1.397354192
4/1/2017 2:10,1.383817638
4/1/2017 2:15,1.37026617
4/1/2017 2:20,1.356725615
4/1/2017 2:25,1.343183665
4/1/2017 2:30,1.329627133
4/1/2017 2:35,1.316081686
4/1/2017 2:40,1.302534937
4/1/2017 2:45,1.288974138
4/1/2017 2:50,1.275424398
4/1/2017 2:55,1.261873794
4/1/2017 3:00,1.248309313
4/1/2017 3:05,1.249858559
4/1/2017 3:10,1.251406262
4/1/2017 3:15,1.252932923
4/1/2017 3:20,1.254477157
4/1/2017 3:25,1.256019942
4/1/2017 3:30,1.257541566
4/1/2017 3:35,1.259068918
4/1/2017 3:40,1.260594955
4/1/2017 3:45,1.262100295
4/1/2017 3:50,1.263633616
4/1/2017 3:55,1.265166193
4/1/2017 4:00,1.266678299
4/1/2017 4:05,1.254927833
4/1/2017 4:10,1.243177313
4/1/2017 4:15,1.231404795
4/1/2017 4:20,1.219652082
4/1/2017 4:25,1.20790002
4/1/2017 4:30,1.196126864
4/1/2017 4:35,1.184363876
4/1/2017 4:40,1.172601114
4/1/2017 4:45,1.160817124
4/1/2017 4:50,1.149064903
4/1/2017 4:55,1.137313187
4/1/2017 5:00,1.125540682
4/1/2017 5:05,1.136422457
4/1/2017 5:10,1.147302171
4/1/2017 5:15,1.158151219
4/1/2017 5:20,1.16902442
4/1/2017 5:25,1.179896119
4/1/2017 5:30,1.190737856
4/1/2017 5:35,1.201604331
4/1/2017 5:40,1.212469291
4/1/2017 5:45,1.223304409
4/1/2017 5:50,1.234152886
4/1/2017 5:55,1.244999928
4/1/2017 6:00,1.255817287
4/1/2017 6:05,1.234863865
4/1/2017 6:10,1.213914205
4/1/2017 6:15,1.192943276
4/1/2017 6:20,1.171998188
4/1/2017 6:25,1.151056477
4/1/2017 6:30,1.130093617
4/1/2017 6:35,1.109156637
4/1/2017 6:40,1.088222595
4/1/2017 6:45,1.067267471
4/1/2017 6:50,1.04633751
4/1/2017 6:55,1.02541046
4/1/2017 7:00,1.004462434
4/1/2017 7:05,1.01015408
4/1/2017 7:10,1.015845408
4/1/2017 7:15,1.021509167
4/1/2017 7:20,1.027197438
4/1/2017 7:25,1.032886027
4/1/2017 7:30,1.038547859
4/1/2017 7:35,1.044223222
4/1/2017 7:40,1.049899277
4/1/2017 7:45,1.055549385
4/1/2017 7:50,1.061235582
4/1/2017 7:55,1.066923187
4/1/2017 8:00,1.072585312
4/1/2017 8:05,1.063483936
4/1/2017 8:10,1.054384992
4/1/2017 8:15,1.045264316
4/1/2017 8:19,1.036180326
4/1/2017 8:24,1.027098264
4/1/2017 8:29,1.017994322
4/1/2017 8:34,1.008901666
4/1/2017 8:39,0.999811602
4/1/2017 8:44,0.990700217
4/1/2017 8:49,0.981622554
4/1/2017 8:54,0.972547683
4/1/2017 8:59,0.963452023
4/1/2017 9:04,0.970384745
4/1/2017 9:09,0.977319289
4/1/2017 9:14,0.984231116
4/1/2017 9:19,0.991167574
4/1/2017 9:24,0.998106185
4/1/2017 9:29,1.005022545
4/1/2017 9:34,1.01197522
4/1/2017 9:39,1.01893022
4/1/2017 9:44,1.025863422
4/1/2017 9:49,1.032811231
4/1/2017 9:54,1.039761393
4/1/2017 9:59,1.046689929
4/1/2017 10:04,1.048039271
4/1/2017 10:09,1.04939171
4/1/2017 10:14,1.050724556
4/1/2017 10:19,1.052082206
4/1/2017 10:24,1.053442341
4/1/2017 10:29,1.05478315
4/1/2017 10:34,1.056146728
4/1/2017 10:39,1.05751335
4/1/2017 10:44,1.058860698
4/1/2017 10:49,1.060232504
4/1/2017 10:54,1.061606982
4/1/2017 10:59,1.062962292
4/1/2017 11:04,1.05875969
4/1/2017 11:09,1.054559108
4/1/2017 11:14,1.050343466
4/1/2017 11:19,1.046144492
4/1/2017 11:24,1.041947672
4/1/2017 11:29,1.037735938
4/1/2017 11:34,1.033537828
4/1/2017 11:39,1.029342377
4/1/2017 11:44,1.025132637
4/1/2017 11:49,1.020943154
4/1/2017 11:54,1.016755479
4/1/2017 11:59,1.012553023
4/1/2017 12:04,0.996984354
4/1/2017 12:09,0.981416284
4/1/2017 12:14,0.965837633
4/1/2017 12:19,0.95027359
4/1/2017 12:24,0.934708324
4/1/2017 12:29,0.919131242
4/1/2017 12:34,0.903574749
4/1/2017 12:39,0.888016648
4/1/2017 12:44,0.872446225
4/1/2017 12:49,0.856869311
4/1/2017 12:54,0.84129066
4/1/2017 12:59,0.825699575
4/1/2017 13:04,0.836608035
4/1/2017 13:09,0.847521177
4/1/2017 13:14,0.858431177
4/1/2017 13:19,0.869355271
4/1/2017 13:24,0.880283197
4/1/2017 13:29,0.89120736
4/1/2017 13:34,0.902157271
4/1/2017 13:39,0.913111634
4/1/2017 13:44,0.924062462
4/1/2017 13:49,0.935034305
4/1/2017 13:54,0.94600987
4/1/2017 13:59,0.956981646
4/1/2017 14:04,0.946483727
4/1/2017 14:09,0.935984306
4/1/2017 14:14,0.925481243
4/1/2017 14:19,0.914986474
4/1/2017 14:24,0.904487598
4/1/2017 14:29,0.893983073
4/1/2017 14:34,0.88348425
4/1/2017 14:39,0.872982343
4/1/2017 14:44,0.862475581
4/1/2017 14:49,0.851966461
4/1/2017 14:54,0.841454352
4/1/2017 14:59,0.830937456
4/1/2017 15:04,0.824255242
4/1/2017 15:09,0.817571578
4/1/2017 15:14,0.810888756
4/1/2017 15:19,0.804203968
4/1/2017 15:24,0.797517357
4/1/2017 15:29,0.79083135
4/1/2017 15:34,0.784136427
4/1/2017 15:39,0.777440074
4/1/2017 15:44,0.770744592
4/1/2017 15:49,0.764049207
4/1/2017 15:54,0.757351913
4/1/2017 15:59,0.750655151
4/1/2017 16:04,0.745871967
4/1/2017 16:09,0.74108744
4/1/2017 16:14,0.736307592
4/1/2017 16:19,0.731503318
4/1/2017 16:24,0.726698087
4/1/2017 16:29,0.72189785
4/1/2017 16:34,0.71711035
4/1/2017 16:39,0.712321162
4/1/2017 16:44,0.707536451
4/1/2017 16:49,0.702732108
4/1/2017 16:54,0.697926308
4/1/2017 16:59,0.693125126
4/1/2017 17:04,0.699852003
4/1/2017 17:09,0.706580977
4/1/2017 17:14,0.713323023
4/1/2017 17:19,0.720049583
4/1/2017 17:24,0.726777922
4/1/2017 17:29,0.733519179
4/1/2017 17:34,0.740266347
4/1/2017 17:39,0.747015166
4/1/2017 17:44,0.753776866
4/1/2017 17:49,0.760527731
4/1/2017 17:54,0.767280528
4/1/2017 17:59,0.774046501
4/1/2017 18:04,0.762763678
4/1/2017 18:09,0.751476601
4/1/2017 18:14,0.740197338
4/1/2017 18:19,0.728910093
4/1/2017 18:24,0.717618376
4/1/2017 18:29,0.706334381
4/1/2017 18:34,0.695030771
4/1/2017 18:39,0.683723454
4/1/2017 18:44,0.67242447
4/1/2017 18:49,0.661114687
4/1/2017 18:54,0.649801105
4/1/2017 18:59,0.638495904
4/1/2017 19:04,0.643895935
4/1/2017 19:09,0.649296617
4/1/2017 19:14,0.654715185
4/1/2017 19:19,0.660130398
4/1/2017 19:24,0.665546111
4/1/2017 19:29,0.670979769
4/1/2017 19:34,0.676381907
4/1/2017 19:39,0.681784843
4/1/2017 19:44,0.687206132
4/1/2017 19:49,0.69261447
4/1/2017 19:54,0.698023249
4/1/2017 19:59,0.703450264
4/1/2017 20:04,0.678346881
4/1/2017 20:09,0.653236762
4/1/2017 20:14,0.628131476
4/1/2017 20:19,0.603010474
4/1/2017 20:24,0.577883688
4/1/2017 20:29,0.552762646
4/1/2017 20:34,0.527622651
4/1/2017 20:39,0.502477942
4/1/2017 20:44,0.477339953
4/1/2017 20:49,0.452188035
4/1/2017 20:54,0.42703214
4/1/2017 20:59,0.401883706
4/1/2017 21:04,0.42398372
4/1/2017 21:09,0.446086192
4/1/2017 21:14,0.468211129
4/1/2017 21:19,0.490318463
4/1/2017 21:24,0.512428554
4/1/2017 21:29,0.534561685
4/1/2017 21:34,0.556680314
4/1/2017 21:39,0.578801761
4/1/2017 21:44,0.600946612
4/1/2017 21:49,0.623086238
4/1/2017 21:54,0.64522886
4/1/2017 21:59,0.667395337
4/1/2017 22:04,0.652621458
4/1/2017 22:09,0.637844282
4/1/2017 22:14,0.623080675
4/1/2017 22:19,0.60830845
4/1/2017 22:24,0.593533295
4/1/2017 22:29,0.578772141
4/1/2017 22:34,0.563981688
4/1/2017 22:39,0.549188572
4/1/2017 22:44,0.534409726
4/1/2017 22:49,0.519618781
4/1/2017 22:54,0.504825696
4/1/2017 22:59,0.490047435
4/1/2017 23:04,0.476913061
4/1/2017 23:09,0.4637766
4/1/2017 23:14,0.450650226
4/1/2017 23:19,0.437509461
4/1/2017 23:24,0.424367048
4/1/2017 23:29,0.411235114
4/1/2017 23:34,0.398092978
4/1/2017 23:39,0.384949342
4/1/2017 23:44,0.371816364
4/1/2017 23:49,0.358659938
4/1/2017 23:54,0.345502276
4/1/2017 23:59,0.332355535
4/2/2017 0:04,0.352743734
4/2/2017 0:09,0.373132732
4/2/2017 0:14,0.39354259
4/2/2017 0:19,0.413925192
4/2/2017 0:24,0.434308427
4/2/2017 0:29,0.454712638
4/2/2017 0:34,0.475097838
4/2/2017 0:39,0.495483695
4/2/2017 0:44,0.515890745
4/2/2017 0:49,0.536277678
4/2/2017 0:54,0.556665261
4/2/2017 0:59,0.577074297
4/2/2017 1:04,0.580892623
4/2/2017 1:09,0.58471021
4/2/2017 1:14,0.588549572
4/2/2017 1:19,0.592356843
4/2/2017 1:24,0.596163185
4/2/2017 1:29,0.599991331
4/2/2017 1:34,0.603804832
4/2/2017 1:39,0.607617679
4/2/2017 1:44,0.611452757
4/2/2017 1:49,0.615268328
4/2/2017 1:54,0.619082821
4/2/2017 1:59,0.622919369
4/2/2017 2:04,0.623520893
4/2/2017 2:09,0.624121414
4/2/2017 2:14,0.624741867
4/2/2017 2:19,0.625341958
4/2/2017 2:24,0.625940944
4/2/2017 2:29,0.626559918
4/2/2017 2:34,0.627158301
4/2/2017 2:39,0.627755498
4/2/2017 2:44,0.628372794
4/2/2017 2:49,0.628968509
4/2/2017 2:54,0.629563059
4/2/2017 2:59,0.630177853
4/2/2017 3:04,0.623778006
4/2/2017 3:09,0.617377261
4/2/2017 3:14,0.610993984
4/2/2017 3:19,0.604580822
4/2/2017 3:24,0.598166857
4/2/2017 3:29,0.591770526
4/2/2017 3:34,0.585367884
4/2/2017 3:39,0.578964475
4/2/2017 3:44,0.572578843
4/2/2017 3:49,0.566174008
4/2/2017 3:54,0.559768603
4/2/2017 3:59,0.553381213
4/2/2017 4:04,0.544404741
4/2/2017 4:09,0.535427977
4/2/2017 4:14,0.526464718
4/2/2017 4:19,0.517486558
4/2/2017 4:24,0.508508323
4/2/2017 4:29,0.499543822
4/2/2017 4:34,0.490578037
4/2/2017 4:39,0.481612188
4/2/2017 4:44,0.472660136
4/2/2017 4:49,0.463681898
4/2/2017 4:54,0.454703795
4/2/2017 4:59,0.445739666
4/2/2017 5:04,0.452406706
4/2/2017 5:09,0.459072831
4/2/2017 5:14,0.465751923
4/2/2017 5:19,0.472415885
4/2/2017 5:24,0.479078909
4/2/2017 5:29,0.485754972
4/2/2017 5:34,0.492427256
4/2/2017 5:39,0.499098572
4/2/2017 5:44,0.505782973
4/2/2017 5:49,0.512441924
4/2/2017 5:54,0.519099774
4/2/2017 5:59,0.525770627
4/2/2017 6:04,0.538622878
4/2/2017 6:09,0.551473524
4/2/2017 6:14,0.564335855
4/2/2017 6:19,0.577193705
4/2/2017 6:24,0.590049853
4/2/2017 6:29,0.602917703
4/2/2017 6:34,0.615757535
4/2/2017 6:39,0.628595673
4/2/2017 6:44,0.641445554
4/2/2017 6:49,0.654289655
4/2/2017 6:54,0.667132117
4/2/2017 6:59,0.679986478
4/2/2017 7:04,0.651318208
4/2/2017 7:09,0.622653316
4/2/2017 7:14,0.593997571
4/2/2017 7:19,0.565337302
4/2/2017 7:24,0.536680029
4/2/2017 7:29,0.508031467
4/2/2017 7:34,0.479365809
4/2/2017 7:39,0.450702669
4/2/2017 7:44,0.422047704
