# Datetime,0cm,-1cm,-5cm,-15cm,-25cm,-65cm
3/30/2017 0:00,4.906,4.96,5,5.033,5.065,4.818
3/30/2017 0:05,4.905,4.89,4.985,5.028,5.064,4.803
3/30/2017 0:10,4.908,4.875,4.974,5.05,5.063,4.807
3/30/2017 0:15,4.892,4.897,4.952,5.059,5.063,4.806
3/30/2017 0:20,4.914,4.907,4.985,5.059,5.041,4.815
3/30/2017 0:25,4.905,4.914,4.946,5.034,5.078,4.808
3/30/2017 0:30,4.939,4.912,4.963,5.043,5.068,4.824
3/30/2017 0:35,4.936,4.907,4.942,5.049,5.062,4.814
3/30/2017 0:40,4.918,4.912,4.967,5.031,5.051,4.791
3/30/2017 0:45,4.907,4.885,4.917,5.032,5.065,4.783
3/30/2017 0:50,4.886,4.903,4.933,5.01,5.053,4.825
3/30/2017 0:55,4.836,4.91,4.969,5.054,5.043,4.8
3/30/2017 1:00,4.81,4.885,4.92,5.016,5.035,4.828
3/30/2017 1:05,4.823,4.85,4.941,4.998,5.059,4.818
3/30/2017 1:10,4.851,4.833,4.929,5.008,5.052,4.853
3/30/2017 1:15,4.805,4.831,4.966,5.005,5.066,4.838
3/30/2017 1:20,4.835,4.834,4.909,5.01,5.047,4.819
3/30/2017 1:25,4.87,4.891,4.914,4.986,5.057,4.839
3/30/2017 1:30,4.841,4.87,4.902,5.007,5.042,4.818
3/30/2017 1:35,4.852,4.834,4.864,5.001,5.047,4.836
3/30/2017 1:40,4.859,4.814,4.821,4.985,5.04,4.846
3/30/2017 1:45,4.826,4.84,4.849,4.995,5.057,4.817
3/30/2017 1:50,4.842,4.855,4.867,4.995,5.004,4.814
3/30/2017 1:55,4.773,4.843,4.848,4.972,5.071,4.837
3/30/2017 2:00,4.777,4.8,4.853,4.975,5.01,4.851
3/30/2017 2:05,4.822,4.773,4.838,4.953,5.049,4.84
3/30/2017 2:10,4.761,4.776,4.859,4.97,5.02,4.852
3/30/2017 2:15,4.773,4.763,4.829,4.936,5.02,4.888
3/30/2017 2:20,4.781,4.757,4.844,4.972,5.018,4.854
3/30/2017 2:25,4.761,4.756,4.82,4.972,5.022,4.829
3/30/2017 2:30,4.757,4.781,4.82,4.93,4.983,4.861
