# Datetime,-5cm,-15cm,-25cm
3/30/2017 0:00,4.992,5.063,5.047
3/30/2017 0:05,4.987,5.061,5.048
3/30/2017 0:10,4.981,5.058,5.049
3/30/2017 0:15,4.974,5.056,5.05
3/30/2017 0:20,4.968,5.053,5.051
3/30/2017 0:25,4.962,5.05,5.052
3/30/2017 0:30,4.956,5.047,5.053
3/30/2017 0:35,4.951,5.043,5.054
3/30/2017 0:40,4.947,5.04,5.054
3/30/2017 0:45,4.943,5.036,5.054
3/30/2017 0:50,4.939,5.032,5.054
3/30/2017 0:55,4.936,5.028,5.054
3/30/2017 1:00,4.93,5.024,5.054
3/30/2017 1:05,4.922,5.019,5.053
3/30/2017 1:10,4.914,5.015,5.053
3/30/2017 1:15,4.905,5.011,5.052
3/30/2017 1:20,4.897,5.006,5.051
3/30/2017 1:25,4.89,5.002,5.049
3/30/2017 1:30,4.884,4.997,5.048
3/30/2017 1:35,4.878,4.992,5.046
3/30/2017 1:40,4.873,4.987,5.044
3/30/2017 1:45,4.869,4.983,5.042
3/30/2017 1:50,4.866,4.978,5.04
3/30/2017 1:55,4.862,4.973,5.038
3/30/2017 2:00,4.858,4.968,5.036
3/30/2017 2:05,4.851,4.963,5.033
3/30/2017 2:10,4.844,4.958,5.031
3/30/2017 2:15,4.837,4.953,5.028
3/30/2017 2:20,4.831,4.949,5.026
3/30/2017 2:25,4.825,4.944,5.023
3/30/2017 2:30,4.819,4.939,5.02
3/30/2017 2:35,4.815,4.934,5.017
3/30/2017 2:40,4.811,4.93,5.014
3/30/2017 2:45,4.807,4.925,5.011
3/30/2017 2:50,4.804,4.921,5.008
3/30/2017 2:55,4.801,4.916,5.005
3/30/2017 3:00,4.797,4.911,5.002
3/30/2017 3:05,4.793,4.907,4.999
3/30/2017 3:10,4.787,4.902,4.995
3/30/2017 3:15,4.782,4.898,4.992
3/30/2017 3:20,4.777,4.893,4.988
3/30/2017 3:25,4.772,4.888,4.985
3/30/2017 3:30,4.767,4.884,4.981
3/30/2017 3:35,4.763,4.879,4.978
3/30/2017 3:40,4.76,4.875,4.974
3/30/2017 3:45,4.757,4.87,4.97
3/30/2017 3:50,4.754,4.865,4.966
3/30/2017 3:55,4.751,4.86,4.962
3/30/2017 4:00,4.748,4.856,4.958
3/30/2017 4:05,4.744,4.851,4.954
3/30/2017 4:10,4.739,4.846,4.95
3/30/2017 4:15,4.735,4.842,4.946
3/30/2017 4:20,4.731,4.838,4.942
3/30/2017 4:25,4.727,4.833,4.938
3/30/2017 4:30,4.724,4.829,4.934
3/30/2017 4:35,4.721,4.825,4.931
3/30/2017 4:40,4.718,4.821,4.927
3/30/2017 4:45,4.716,4.818,4.923
3/30/2017 4:50,4.714,4.814,4.919
3/30/2017 4:55,4.712,4.81,4.916
3/30/2017 5:00,4.71,4.807,4.912
3/30/2017 5:05,4.707,4.803,4.909
3/30/2017 5:10,4.703,4.8,4.905
3/30/2017 5:15,4.7,4.796,4.901
3/30/2017 5:20,4.696,4.793,4.898
3/30/2017 5:25,4.693,4.789,4.894
3/30/2017 5:30,4.69,4.786,4.89
3/30/2017 5:35,4.688,4.782,4.886
3/30/2017 5:40,4.685,4.779,4.883
3/30/2017 5:45,4.683,4.775,4.879
3/30/2017 5:50,4.681,4.772,4.875
3/30/2017 5:55,4.679,4.768,4.871
3/30/2017 6:00,4.677,4.765,4.867
3/30/2017 6:05,4.673,4.761,4.864
3/30/2017 6:10,4.67,4.758,4.86
3/30/2017 6:15,4.667,4.755,4.857
3/30/2017 6:20,4.663,4.752,4.853
3/30/2017 6:25,4.661,4.75,4.85
3/30/2017 6:30,4.658,4.747,4.847
3/30/2017 6:35,4.656,4.745,4.844
3/30/2017 6:40,4.654,4.742,4.842
3/30/2017 6:45,4.652,4.74,4.839
3/30/2017 6:50,4.651,4.738,4.837
3/30/2017 6:55,4.65,4.736,4.834
3/30/2017 7:00,4.649,4.734,4.832
3/30/2017 7:05,4.647,4.732,4.83
3/30/2017 7:10,4.646,4.73,4.828
3/30/2017 7:15,4.644,4.729,4.826
3/30/2017 7:20,4.642,4.727,4.824
3/30/2017 7:25,4.641,4.725,4.822
3/30/2017 7:30,4.64,4.723,4.819
3/30/2017 7:35,4.639,4.722,4.817
3/30/2017 7:40,4.637,4.72,4.815
3/30/2017 7:45,4.636,4.718,4.813
3/30/2017 7:50,4.635,4.717,4.812
3/30/2017 7:55,4.634,4.715,4.81
3/30/2017 8:00,4.634,4.713,4.808
3/30/2017 8:05,4.634,4.712,4.806
3/30/2017 8:10,4.634,4.71,4.804
3/30/2017 8:15,4.635,4.709,4.802
3/30/2017 8:20,4.635,4.707,4.8
3/30/2017 8:25,4.636,4.706,4.799
3/30/2017 8:30,4.637,4.704,4.797
3/30/2017 8:35,4.637,4.703,4.795
3/30/2017 8:40,4.637,4.702,4.794
3/30/2017 8:45,4.638,4.701,4.792
3/30/2017 8:50,4.638,4.7,4.791
3/30/2017 8:55,4.638,4.699,4.789
3/30/2017 9:00,4.64,4.698,4.788
3/30/2017 9:05,4.643,4.697,4.786
3/30/2017 9:10,4.647,4.696,4.785
3/30/2017 9:15,4.651,4.695,4.784
3/30/2017 9:20,4.656,4.694,4.782
3/30/2017 9:25,4.661,4.693,4.781
3/30/2017 9:30,4.665,4.692,4.779
3/30/2017 9:35,4.669,4.691,4.777
3/30/2017 9:40,4.672,4.69,4.776
3/30/2017 9:45,4.675,4.69,4.774
3/30/2017 9:50,4.678,4.689,4.773
3/30/2017 9:55,4.681,4.688,4.771
3/30/2017 10:00,4.686,4.688,4.77
3/30/2017 10:05,4.693,4.687,4.768
