Unnamed: 0,# Datetime,0cm,-1cm,-5cm,-15cm,-25cm,-65cm
0,2017-03-30 00:00:00,4.906,4.960,5.000,5.033,5.065,4.818
1,2017-03-30 00:05:00,4.905,4.890,4.985,5.028,5.064,4.803
2,2017-03-30 00:10:00,4.908,4.875,4.974,5.050,5.063,4.807
3,2017-03-30 00:15:00,4.892,4.897,4.952,5.059,5.063,4.806
4,2017-03-30 00:20:00,4.914,4.907,4.985,5.059,5.041,4.815
5,2017-03-30 00:25:00,4.905,4.914,4.946,5.034,5.078,4.808
6,2017-03-30 00:30:00,4.939,4.912,4.963,5.043,5.068,4.824
7,2017-03-30 00:35:00,4.936,4.907,4.942,5.049,5.062,4.814
8,2017-03-30 00:40:00,4.918,4.912,4.967,5.031,5.051,4.791
9,2017-03-30 00:45:00,4.907,4.885,4.917,5.032,5.065,4.783
10,2017-03-30 00:50:00,4.886,4.903,4.933,5.010,5.053,4.825
11,2017-03-30 00:55:00,4.836,4.910,4.969,5.054,5.043,4.800
12,2017-03-30 01:00:00,4.810,4.885,4.920,5.016,5.035,4.828
13,2017-03-30 01:05:00,4.823,4.850,4.941,4.998,5.059,4.818
14,2017-03-30 01:10:00,4.851,4.833,4.929,5.008,5.052,4.853
15,2017-03-30 01:15:00,4.805,4.831,4.966,5.005,5.066,4.838
16,2017-03-30 01:20:00,4.835,4.834,4.909,5.010,5.047,4.819
17,2017-03-30 01:25:00,4.870,4.891,4.914,4.986,5.057,4.839
18,2017-03-30 01:30:00,4.841,4.870,4.902,5.007,5.042,4.818
19,2017-03-30 01:35:00,4.852,4.834,4.864,5.001,5.047,4.836
20,2017-03-30 01:40:00,4.859,4.814,4.821,4.985,5.040,4.846
21,2017-03-30 01:45:00,4.826,4.840,4.849,4.995,5.057,4.817
22,2017-03-30 01:50:00,4.842,4.855,4.867,4.995,5.004,4.814
23,2017-03-30 01:55:00,4.773,4.843,4.848,4.972,5.071,4.837
24,2017-03-30 02:00:00,4.777,4.800,4.853,4.975,5.010,4.851
25,2017-03-30 02:05:00,4.822,4.773,4.838,4.953,5.049,4.840
26,2017-03-30 02:10:00,4.761,4.776,4.859,4.970,5.020,4.852
27,2017-03-30 02:15:00,4.773,4.763,4.829,4.936,5.020,4.888
28,2017-03-30 02:20:00,4.781,4.757,4.844,4.972,5.018,4.854
29,2017-03-30 02:25:00,4.761,4.756,4.820,4.972,5.022,4.829
30,2017-03-30 02:30:00,4.757,4.781,4.820,4.930,4.983,4.861
