,Time,Liquid Pressure [Pa] ,Liquid Saturation ,Temperature [C] ,Total Tracer_river [M] ,qlx [m/h] ,qly [m/h] ,qlz [m/h] ,northing,easting,elevation,cell_id
0,8641.0,111230.3,1.0,5.744793,1.000002,-0.0003642833,-0.0003620019,-0.01093611,116310.0,594460.0,104.529,59584.0
1,8642.0,111732.6,1.0,5.744186,1.000002,-0.0004163872,-0.0004664571,-0.01352228,116310.0,594460.0,104.529,59584.0
2,8643.0,112017.7,1.0,5.743411,1.000002,-0.0004289591,-0.0004863351,-0.01402672,116310.0,594460.0,104.529,59584.0
3,8644.0,112249.7,1.0,5.742459,1.000003,-0.0004172425,-0.0004980225,-0.01440694,116310.0,594460.0,104.529,59584.0
4,8645.0,112314.6,1.0,5.741428,1.000003,-0.0003892297,-0.0004773459,-0.01374069,116310.0,594460.0,104.529,59584.0
5,8646.0,112216.3,1.0,5.740344,1.000003,-0.0003576612,-0.0004206845,-0.01186239,116310.0,594460.0,104.529,59584.0
6,8647.0,111940.7,1.0,5.739434,1.000003,-0.0002822334,-0.0003391259,-0.00938627,116310.0,594460.0,104.529,59584.0
7,8648.0,111584.1,1.0,5.738792,1.000002,-0.0002244386,-0.0002514527,-0.006991596,116310.0,594460.0,104.529,59584.0
8,8649.0,111018.0,1.0,5.738615,1.000002,-0.0001011159,-0.0001258639,-0.00284316,116310.0,594460.0,104.529,59584.0
9,8650.0,110663.4,1.0,5.738794,1.000002,-8.473668e-05,-7.255359e-05,-0.0013345,116310.0,594460.0,104.529,59584.0
10,8651.0,110054.3,1.0,5.740353,1.000002,0.0002425053,4.455382e-05,0.00224008,116310.0,594460.0,104.529,59584.0
11,8652.0,109539.6,1.0,5.742737,1.000001,0.0006529638,0.0001925363,0.003983223,116310.0,594460.0,104.529,59584.0
0,8641.0,119420.4,1.0,5.741969,1.000002,0.0001132908,-0.0003031074,-0.004829649,116300.0,594470.0,103.674,54943.0
1,8642.0,119872.3,1.0,5.74194,1.000002,0.0001405299,-0.0003762718,-0.006000049,116300.0,594470.0,103.674,54943.0
2,8643.0,120145.8,1.0,5.741862,1.000003,0.0001462261,-0.0003915013,-0.006242676,116300.0,594470.0,103.674,54943.0
3,8644.0,120370.3,1.0,5.741738,1.000003,0.0001503502,-0.0004026797,-0.00642567,116300.0,594470.0,103.674,54943.0
4,8645.0,120446.0,1.0,5.741605,1.000003,0.0001434855,-0.0003841757,-0.006128575,116300.0,594470.0,103.674,54943.0
5,8646.0,120379.0,1.0,5.741473,1.000003,0.0001244412,-0.0003328245,-0.005300702,116300.0,594470.0,103.674,54943.0
6,8647.0,120145.7,1.0,5.741409,1.000003,9.859036e-05,-0.0002632037,-0.004180399,116300.0,594470.0,103.674,54943.0
7,8648.0,119831.5,1.0,5.741438,1.000002,7.360833e-05,-0.0001959733,-0.003099376,116300.0,594470.0,103.674,54943.0
